category,cat_mean,daf_mean,watterson,tajima,fay_wu
"(-22.179000000000002, -0.485]",S=-1.722 (4732 SNPs),120.4513043478261,741.8756655110998,723.9068478260868,610.9966304347827
"(-0.485, -0.137]",S=-0.274 (4732 SNPs),122.87217391304348,756.7861243852103,745.7532971014494,646.2040942028987
"(-0.137, -0.0288]",S=-0.073 (4731 SNPs),122.50347826086954,754.5152786371415,734.8911594202899,599.9314492753623
"(-0.0288, 0.00792]",S=-0.008 (4732 SNPs),124.68347826086958,767.9421896994246,758.5377173913043,672.2179347826087
"(0.00792, 80.801]",S=0.478 (4732 SNPs),125.89217391304348,775.3867075999322,788.4212318840581,674.15615942029
