sample,fastq_1,fastq_2,antibody,control
CTCF_sample,../../data/ChIP-seq/drosophila/Ni12/SRR066831.fastq.gz,,CTCF,input_DNA
CTCF_sample,../../data/ChIP-seq/drosophila/Ni12/SRR066832.fastq.gz,,CTCF,input_DNA
CTCF_sample,../../data/ChIP-seq/drosophila/Ni12/SRR066833.fastq.gz,,CTCF,input_DNA
input_DNA,../../data/ChIP-seq/drosophila/Ni12/SRR066834.fastq.gz,,,
input_DNA,../../data/ChIP-seq/drosophila/Ni12/SRR066835.fastq.gz,,,
input_DNA,../../data/ChIP-seq/drosophila/Ni12/SRR066836.fastq.gz,,,
