Gene,Type,Strain,Stage,Update,Antibody,Domain,Method,Date,Peaks,External_Repository,Notes
CG6765,TF,CG6765-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,2004,ENCSR850IRM,ENCODE bams
CG6791,TF,CG6791-GFP,embryonic,,ab290,,site-specific recombination,28/03/2022,6091,ENCSR414IVJ,0-24
CG6808,TF,CG6808-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,7791,ENCSR278IBK,ENCODE bams
CG6813,TF,CG6813-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,3811,ENCSR652KCU,ENCODE bams
CG7101,TF,CG7101,adult,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,6199,ENCSR033ZHC,ENCODE bams
CG7271,TF,CG7271,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,1640,ENCSR924PXF,ENCODE bams
CG7357,TF,CG7357-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,15/10/2020,4491,ENCSR121SDZ,E0-24
CG7368,TF,CG7368-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,5612,ENCSR584XDP,ENCODE bams
CG7372,TF,CG7372-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/03/2021,4782,ENCSR068PBQ,E0-24
CG7556,Protein binding,CG7556-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,9166,ENCSR042FCJ,ENCODE bams
CG7691,TF,CG7691-GFP,prepupa,,ab290,,site-specific recombination,20/10/2022,3213,,WPP
CG7745,TF,CG7745,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,3049,ENCSR060CFV,ENCODE bams
CG7786,TF,CG7786-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3720,ENCSR776AVR,ENCODE bams
CG7839,Protein binding,CG7839,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,9149,ENCSR907HKG,ENCODE bams
CG7963,TF,CG7963-GFP,embryonic,,ab290,,site-specific recombination,28/03/2022,3351,ENCSR809MZQ,0-24
CG7987,TF,CG7987-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,6727,ENCSR681RZY,ENCODE bams
CG8089,TF,CG8089-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3164,ENCSR764LDS,ENCODE bams
CG8119,TF,CG8119-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,10603,ENCSR221GVM,WPP+1
CG8159,TF,CG8159-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,12652,ENCSR790NPU,ENCODE bams
CG8281,TF,CG8281,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,4100,ENCSR944MGS,ENCODE bams
CG8301,TF,CG8301,pupa,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,10685,ENCSR855JSV,ENCODE bams
CG8319,TF,CG8319-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,4203,ENCSR530MRJ,ENCODE bams
CG8388,TF,CG8388-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,6096,ENCSR551HEY,ENCODE bams
CG8478,TF,CG8478-GFP,embryonic,,ab290,,site-specific recombination,01/08/2022,3151,ENCSR627JXA,E0-24
CG8478,TF,Oregon-R,unknown,,non-commercial CG8478 modENCODE antibody 1,,,24/08/2016,1556,ENCSR982KSB,ENCODE bams
CG8478,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial CG8478 modENCODE antibody 1,,,22/12/2017,1842,ENCSR569AVN,ENCODE bams
CG8478,TF,yellow_cinnabar_brown_speck,prepupa,,non-commercial CG8478 modENCODE antibody 1,,,27/12/2017,253,ENCSR086JMG,ENCODE bams
CG8765,TF,CG8765-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/01/2021,2877,ENCSR387WYA,E0-8
CG8924,TF,CG8924,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,12824,ENCSR274AAR,ENCODE bams
CG8944,TF,CG8944-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3238,ENCSR619HLP,ENCODE bams
CG9215,TF,CG9215-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,06/07/2021,4098,ENCSR528YUT,E0-24
CG9609,TF,CG9609-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3477,ENCSR190CJZ,ENCODE bams
CG9705,RNA binding,CG9705-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3392,ENCSR875UKH,ENCODE bams
CG9727,TF,CG9727-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,7079,ENCSR624PKN,ENCODE bams
CG9876,TF,CG9876-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2272,ENCSR004RJS,ENCODE bams
CG9932,TF,CG9932-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/06/2021,7328,ENCSR099DRZ,E8-24
CG9948,TF,CG9948,pupa,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,9361,ENCSR132VFF,ENCODE bams
CHES-1-like,TF,CHES-1-like-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3583,ENCSR791TWT,ENCODE bams
CTCF,TF,CTCF-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,4935,ENCSR661BEZ,ENCODE bams
CTCF,TF,Oregon-R,embryonic,,non-commercial CTCF modENCODE antibody 2,,,22/12/2017,3611,ENCSR918GXT,ENCODE bams
CTCF,TF,Oregon-R,embryonic,,non-commercial CTCF modENCODE antibody 2,,,22/12/2017,4289,ENCSR711UTK,ENCODE bams
CTPsyn,TF,CG6854-GFP,embryonic,gene is CG45071,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,2327,ENCSR755ZOR,ENCODE bams
CTPsyn,TF,CG6854-GFP,prepupa,gene is CG45071,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,7496,ENCSR660AYK,ENCODE bams
Camta,TF,Camta-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3245,ENCSR568EBW,ENCODE bams
Cf2,TF,Cf2-GFP,embryonic,,ab290,,site-specific recombination,24/01/2023,3253,,E0-24
Chrac-16,chromatin factor,Chrac-16-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,4609,ENCSR097DMR,ENCODE bams
CkIIα-i1,TF,CkIIα-i1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,20/04/2021,944,ENCSR931TMV,E0-18
Clamp,TF,CG1832-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,6597,ENCSR858HYS,ENCODE bams
Clk,TF,Clk-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,1486,ENCSR904GFO,ENCODE bams
CoRest,TF,CoRest-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,8848,ENCSR038HZR,ENCODE bams
Coop,TF,CG1621,prepupa,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,8200,ENCSR055BAQ,ENCODE bams
CrebA,TF,CrebA-MiMIC-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,6302,ENCSR168NHD,ENCODE bams
CrebB,TF,CrebB,embryonic,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,2827,ENCSR532BHA,ENCODE bams
Crg-1,TF,Crg-1-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,2147,ENCSR596YNC,ENCODE bams
D,TF,D-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,4204,ENCSR894GQA,ENCODE bams
D,TF,yellow_cinnabar_brown_speck,embryonic,,Aviva-KW3-D-D2,,,15/06/2017,892,ENCSR319MRG,ENCODE bams
D1,TF,D1,pupa,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,5778,ENCSR800UAU,ENCODE bams
D19A,TF,D19A,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,11315,ENCSR125CNZ,ENCODE bams
D19B,TF,D19B-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3165,ENCSR615RMC,ENCODE bams
Dad,Protein binding,Dad-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3702,ENCSR969UGO,ENCODE bams
Dbx,TF,Dbx-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/03/2021,6387,ENCSR532EVV,E8-24
Deaf1,TF,Deaf1,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,15190,ENCSR587CWK,ENCODE bams
Dek,DNA Repair,Dek,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,6493,ENCSR547IVT,ENCODE bams
Dfd,TF,10T-Dfd-GFP,embryonic,,non-commercial eGFP modENCODE antibody 1,,stable transfection,15/06/2017,205,ENCSR981DFR,ENCODE bams
Dfd,TF,10T-Dfd-GFP,wanderingthirdinstarlarva,,non-commercial eGFP modENCODE antibody 1,,stable transfection,15/06/2017,2045,ENCSR098NCP,ENCODE bams
Dfd,TF,10T-GFP,embryonic,strain is 10T-Dfd-GFP,non-commercial eGFP modENCODE antibody 1,,site-specific recombination,22/08/2016,714,ENCSR020BAG,ENCODE bams
Dif,TF,Dif-GFP,wanderingthirdinstarlarva,,ab290,,site-specific recombination,23/07/2015,2647,ENCSR748ZJA,ENCODE bams
Dip2,TF,Dip2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,10/03/2021,973,ENCSR288VXK,E0-18
Dlip3,TF,Dip3-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3195,ENCSR110QRS,ENCODE bams
Dll,TF,Dll-GFP,embryonic,,ab290,,site-specific recombination,23/08/2022,6226,ENCSR940IHI,E0-24
Dll,TF,yellow_cinnabar_brown_speck,unknown,,non-commercial Dll modENCODE antibody 1,,,24/08/2016,1374,ENCSR556QKA,ENCODE bams
Doc2,TF,Doc2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,20/05/2021,1230,ENCSR417DNN,E0-18
Doc3,TF,Doc3-GFP,embryonic,,ab290,,site-specific recombination,30/08/2022,3513,ENCSR216TTW,E0-24
Dp,TF,Dp-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,12020,ENCSR120ICM,ENCODE bams
Dref,TF,Dref-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,06/07/2021,5583,ENCSR173XZD,E0-24
Drgx,TF,Drgx-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/11/2021,8443,ENCSR832AOR,WPP+1
Dsp1,chromatin factor,Dsp1-GFP,embryonic,,ab290,,site-specific recombination,28/02/2023,8280,,E0-24
E(bx),TF,E(bx)-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/08/2016,12497,ENCSR559AJG,ENCODE bams
E(spl)m3-HLH,TF,E(spl)m3-HLH-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,4600,ENCSR671XAK,ENCODE bams
E(spl)m5-HLH,TF,E(spl)m5-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,1837,ENCSR641KZS,ENCODE bams
E(spl)m7-HLH,TF,HLHm7-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2453,ENCSR797YWF,ENCODE bams
E(spl)m8-HLH,TF,E(spl)m8-HLH,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,8001,ENCSR365BOA,ENCODE bams
E(spl)mbeta-HLH,TF,E(spl)m-beta-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,9347,ENCSR015ZUX,ENCODE bams
E(spl)mbeta-HLH,TF,E(spl)m-beta-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,12248,ENCSR821PDI,ENCODE bams
E(spl)mdelta-HLH,TF,E(spl)m-delta-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,2792,ENCSR758FTK,ENCODE bams
E(spl)mgamma-HLH,TF,Esplmgamma-HLH-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,4168,ENCSR698UZG,ENCODE bams
E(var)3-9,TF,E(var)3-9-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/10/2015,2820,ENCSR929RAT,ENCODE bams
E(z),chromatin factor,E(z)-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,6838,ENCSR032HMJ,ENCODE bams
E2f1,TF,E2f1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,13/10/2021,5167,ENCSR576CBU,0-24
E2f2,TF,E2F2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,8752,ENCSR180CNV,E0-24
ERR,TF,ERR-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,4024,ENCSR904ALL,ENCODE bams
EcR,TF,EcR-GFP,pupa,,goat-anti-GFP-UC,,stable transfection,12/04/2019,18056,ENCSR497FYG,ENCODE bams
EcR,TF,EcR-GFP,unknown,,non-commercial eGFP modENCODE antibody 1,,stable transfection,15/06/2017,1427,ENCSR566ZYE,ENCODE bams
EcR,TF,EcR-GFP,unknown,,non-commercial eGFP modENCODE antibody 1,,stable transfection,15/06/2017,698,ENCSR377EUZ,ENCODE bams
Eip74EF,TF,Eip74EF-GFP,embryonic,,ab290,,stable transfection,23/08/2016,352,ENCSR547SRP,ENCODE bams
Eip74EF,TF,Eip74EF-GFP,embryonic,,goat-anti-GFP-UC,,stable transfection,12/04/2019,7062,ENCSR150QNB,ENCODE bams
Eip75B,TF,Eip75B-MiMIC-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,06/10/2015,9271,ENCSR410UOB,ENCODE bams
Eip78C,TF,Eip78C-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,8505,ENCSR471YQA,ENCODE bams
Eip93F,TF,Eip93F-MiMIC-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1947,ENCSR969SUB,ENCODE bams
Elba2,TF,CG9883-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,2254,ENCSR932STL,ENCODE bams
Ets21C,TF,d.ets6-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4535,ENCSR763HRS,ENCODE bams
Ets65A,TF,ets3-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,3029,ENCSR811GFT,ENCODE bams
Ets96B,TF,Ets96B,prepupa,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,10146,ENCSR572JUN,ENCODE bams
Ets97D,TF,Delg-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,5207,ENCSR485SST,ENCODE bams
Ets98B,TF,Ets98B-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,04/01/2021,8788,ENCSR268GMP,WPP+2
Fer1,TF,Fer1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,8632,ENCSR184CKS,ENCODE bams
Fer2,TF,Fer2,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,2909,ENCSR605NFY,ENCODE bams
Fer3,TF,Fer3,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,5447,ENCSR367SBM,ENCODE bams
FoxK,TF,FoxK-GFP,embryonic,,ab290,,site-specific recombination,20/10/2022,3102,,E0-24
FoxL1,TF,fd64A-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3088,ENCSR164WWJ,ENCODE bams
FoxP,TF,fd85E-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,7234,ENCSR423GBK,ENCODE bams
GATAd,TF,GATAd-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,1016,ENCSR245UCO,ENCODE bams
GATAe,TF,GATAe-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/03/2021,3047,ENCSR625TAA,E0-24
Gsc,TF,Gsc-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,05/08/2021,1655,ENCSR048FSW,E0-24
Gug,TF,Gug-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/10/2020,4645,ENCSR068MPS,E0-24
Gug,TF,Gug-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,05/02/2021,5753,ENCSR652TMY,WPP+1
H,TF co-regulator,H-GFP,embryonic,,ab290,,site-specific recombination,20/10/2022,2717,,E0-24
H15,TF,H15-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,05/08/2021,4419,ENCSR707SPH,E8-24
H2.0,TF,H2.0-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,4590,ENCSR772DDF,E0-24
HGTX,TF,HGTX-GFP,embryonic,,ab290,,site-specific recombination,24/01/2023,6509,,E0-24
HHEX,TF,CG7056-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,4067,ENCSR878RMZ,ENCODE bams
HLH3B,TF,HLH3B-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/09/2021,5814,ENCSR125LUS,Aug-24
HLH4C,TF,HLH4C-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,5164,ENCSR906ZIN,E8-24
HLH54F,TF,HLH54F-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3857,ENCSR872ZXK,ENCODE bams
Hand,TF,Hand-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,2766,ENCSR315AML,ENCODE bams
Hey,TF,Hey,embryonic,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,3583,ENCSR418NNG,ENCODE bams
HmgD,TF,HmgD-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2988,ENCSR425SCD,ENCODE bams
HmgZ,TF,HmgZ,embryonic,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,7023,ENCSR794HZG,ENCODE bams
Hmr,chromatin factor,Hmr-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,6071,ENCSR324QVN,ENCODE bams
Hmx,TF,Hmx-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1829,ENCSR493LWV,ENCODE bams
Hnf4,TF,Hnf4-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,6762,ENCSR518MQL,ENCODE bams
Hr3,TF,Hr3-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/10/2015,4827,ENCSR690WSD,ENCODE bams
Hr38,TF,Hr38-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,608,ENCSR271VMW,ENCODE bams
Hr39,TF,Hr39-RC-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,7226,ENCSR982LVI,ENCODE bams
Hr39,TF,yellow_cinnabar_brown_speck,embryonic,,Aviva-KW4-Hr39-D1,,,16/06/2017,1363,ENCSR672NRQ,ENCODE bams
Hr4,TF,Hr4-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,8403,ENCSR196VPW,ENCODE bams
Hr51,TF,Dhr51-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,10201,ENCSR555TTB,ENCODE bams
Hr51,TF,Dhr51-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3377,ENCSR864SNW,ENCODE bams
Hr78,TF,Hr78-GFP,embryonic,,ab290,,stable transfection,23/08/2016,326,ENCSR229FYE,ENCODE bams
Hr78,TF,Hr78-GFP,embryonic,,goat-anti-GFP-UC,,stable transfection,12/04/2019,10609,ENCSR280XEB,ENCODE bams
Hr78,TF,Hr78-GFP,wanderingthirdinstarlarva,,ab290,,stable transfection,24/08/2016,455,ENCSR107VQE,ENCODE bams
Hr83,TF,Hr83-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,3377,ENCSR239YEX,ENCODE bams
Hr96,TF,Hr96-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3330,ENCSR358XYO,ENCODE bams
Hsf,TF,Hsf-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,5318,ENCSR189NRY,ENCODE bams
Jarid2,chromatin factor,Jarid2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,4981,ENCSR388YUZ,ENCODE bams
Jra,TF,Jra-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,3758,ENCSR471GSA,ENCODE bams
Kah,TF,kah-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3734,ENCSR161YRO,ENCODE bams
Klf15,TF,Bteb2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4650,ENCSR810MQU,ENCODE bams
Kr,TF,Kr-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,1360,ENCSR156QJC,ENCODE bams
Kr-h1,TF,Kr-h1-GFP,embryonic,,ab290,,site-specific recombination,19/02/2023,8356,,E0-24
Lhr,chromatin factor,Lhr-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,3660,ENCSR272DEA,ENCODE bams
Lim3,TF,Lim3-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/12/2020,1500,ENCSR110JOZ,E8-24
Lpt,chromatin factor,13T-exd-GFP,embryonic,,non-commercial Lpt modENCODE antibody 1,,stable transfection,24/08/2016,486,ENCSR376EUJ,ENCODE bams
Lpt,chromatin factor,Lpt-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,5990,ENCSR303EBD,ENCODE bams
M1BP,TF,CG9797-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,4950,ENCSR517LBX,ENCODE bams
MBD-R2,TF,MBD-R2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,23/03/2021,7544,ENCSR717UAO,E0-24
MESR4,TF,MESR4-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,11219,ENCSR295CRU,ENCODE bams
MTF-1,TF,MTF-1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,2474,ENCSR261RKJ,ENCODE bams
Mabi,TF,CG15479-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,9390,ENCSR161OBF,ENCODE bams
Mad,TF,Mad-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3369,ENCSR875FVD,ENCODE bams
Max,TF,Max-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4179,ENCSR672KPS,ENCODE bams
Med,TF,Med-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,6094,ENCSR476LOS,ENCODE bams
Mef2,TF,Mef2-GFP,embryonic,,ab290,,site-specific recombination,24/01/2023,10570,,E0-24
Meics,TF,Meics-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,6624,ENCSR775WXN,ENCODE bams
Mes2,TF,Mes2-GFP,embryonic,,ab290,,site-specific recombination,20/02/2023,2866,,E0-24
Mes4,DNA replication,Mes4-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2907,ENCSR517HVR,ENCODE bams
Met,TF,Met-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,9358,ENCSR363SHZ,ENCODE bams
Mnt,TF,Mnt-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,5935,ENCSR855PBX,ENCODE bams
Mondo,TF,Mio-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,968,ENCSR609RLI,ENCODE bams
Mrtf,TF,Mrtf-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/07/2021,4033,ENCSR817ZOL,E0-24
Myb,TF,Myb-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,5501,ENCSR393AKW,ENCODE bams
Myc,TF,Myc-GFP,embryonic,,KW1-dm-D1,,,24/08/2016,112,ENCSR949RDZ,ENCODE bams
Myc,TF,dm-GFP,embryonic,strain is Myc-GFP,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3299,ENCSR999ZCR,ENCODE bams
Myc,TF,yellow_cinnabar_brown_speck,wanderingthirdinstarlarva,,sc-28208,,,22/08/2016,3494,ENCSR191VCQ,ENCODE bams
N,TF co-regulator,Notch-GFP,wanderingthirdinstarlarva,,ab290,,stable transfection,24/08/2016,1439,ENCSR829ZIC,ENCODE bams
NC2alpha,TF,NC2alpha-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2015,ENCSR476OSZ,ENCODE bams
NC2beta,TF,NC2beta-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4809,ENCSR682NHG,ENCODE bams
NFAT,TF,NFAT-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,19/07/2021,4924,ENCSR375YXB,E0-24
NK7.1,TF,NK7.1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1949,ENCSR021FJA,ENCODE bams
Neu2,TF,Neu2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1287,ENCSR296ASC,ENCODE bams
Nf-YA,TF,Nf-YA-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,3354,ENCSR326ASP,0-24
Nf-YB,TF,Nf-YB-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,9834,ENCSR134NKA,ENCODE bams
Nf-YC,TF,Nf-Yc,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,11322,ENCSR012MXT,ENCODE bams
NfI,TF,NfI-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,5736,ENCSR085FSS,ENCODE bams
Oaz,TF,Oaz-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/12/2020,2846,ENCSR668AXV,E0-24
OdsH,TF,OdsH-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,21/10/2015,8209,ENCSR833LUF,ENCODE bams
OdsH,TF,OdsH-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,21/10/2015,6458,ENCSR824HQS,ENCODE bams
Oli,TF,Oli-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,7552,ENCSR139BJY,ENCODE bams
Opbp,TF,Opbp-GFP,embryonic,,ab290,,site-specific recombination,28/03/2022,5686,ENCSR175RNN,0-24
Optix,TF,Optix-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/01/2021,3523,ENCSR031QSB,E0-24
PHDP,TF,PHDP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,9639,ENCSR909XXF,ENCODE bams
Pdp1,TF,Pdp1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,12916,ENCSR339IEZ,ENCODE bams
