Gene,Type,Strain,Stage,Update,Antibody,Domain,Method,Date,Peaks,External_Repository,Notes
CG11093,TF,CG11093-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,15/10/2020,3560,ENCSR928CNH,E0-24
CG11247,TF,CG11247-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/06/2021,4495,ENCSR244QRU,E0-24
CG11294,TF,CG11294-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,07/07/2021,4330,ENCSR756QLO,WPP+1
CG11398,TF,CG11398-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2752,ENCSR486MQI,ENCODE bams
CG11456,TF,CG11456-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/06/2021,6683,ENCSR512TAI,E0-18
CG11504,TF,CG11504,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,13689,ENCSR227BSJ,ENCODE bams
CG11560,TF,CG11560,embryonic,,goat-anti-GFP-UC,,site-specific recombination,06/07/2021,3351,ENCSR589OBZ,E0-24
CG11617,TF,CG11617-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,9757,ENCSR287NIU,ENCODE bams
CG11695,TF,CG11695-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,5976,ENCSR123OZS,E0-24
CG11696,TF,CG11696-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/09/2021,3752,ENCSR489NTY,0-24
CG11723,TF,CG11723-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3331,ENCSR796JXT,ENCODE bams
CG11902,TF,CG11902-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,4552,ENCSR919WAW,ENCODE bams
CG11906,TF,CG11906-GFP,embryonic,,ab290,,site-specific recombination,16/02/2023,8949,,E0-24
CG11966,TF,CG11966-GFP,embryonic,,ab290,,site-specific recombination,04/12/2022,3283,,E6-24
CG12071,TF,CG12071-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,6098,ENCSR521NPD,ENCODE bams
CG12104,TF,CG12104-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/08/2016,2494,ENCSR676ZTM,ENCODE bams
CG12155,TF,CG12155-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,5249,ENCSR149KUC,ENCODE bams
CG12219,TF,CG12219-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3904,ENCSR645UUT,ENCODE bams
CG12236,TF,CG12236-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2471,ENCSR044IDQ,ENCODE bams
CG12299,TF,CG12299,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,2562,ENCSR028DHQ,ENCODE bams
CG1233,TF,CG1233-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,4738,ENCSR321YHE,ENCODE bams
CG12391,TF,CG12391-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,11300,ENCSR483VVZ,ENCODE bams
CG12605,TF,CG12605-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,7010,ENCSR242INW,1
CG12659,chromatin factor,CG12659-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,7146,ENCSR027AMS,ENCODE bams
CG12744,TF,CG12744-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3142,ENCSR950LBC,ENCODE bams
CG12768,TF,CG12768-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,3069,ENCSR923RDP,ENCODE bams
CG12769,TF,CG12769,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,14692,ENCSR964YKJ,ENCODE bams
CG12942,TF,CG12942-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,3692,ENCSR139RDU,ENCODE bams
CG13123,TF,CG13123-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,4252,ENCSR982RGH,ENCODE bams
CG13204,TF,CG13204-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,11163,ENCSR476TPB,ENCODE bams
CG13287,TF,CG13287-GFP,embryonic,,ab290,,site-specific recombination,01/08/2022,7031,ENCSR207TGU,E6-24
CG13296,TF,CG13296-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,8311,ENCSR789TLW,ENCODE bams
CG13775,TF,CG13775-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,5172,ENCSR861RPB,ENCODE bams
CG13894,TF,CG13894,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,9910,ENCSR718USP,ENCODE bams
CG13897,TF,CG13897-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,05/02/2021,3236,,"E0-18, needs BDSC#"
CG14014,TF,CG14014-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,05/02/2021,5675,ENCSR706YKU,E0-24
CG14050,TF,CG14050-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,3534,ENCSR302KZT,0-24
CG14441,TF,CG14441-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/08/2021,5823,ENCSR139HZF,E0-24
CG14655,TF,CG14655-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,9717,ENCSR237AMN,ENCODE bams
CG14667,TF,CG14667-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,3552,ENCSR132JFU,E0-24
CG14710,TF,CG14710,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,13399,ENCSR423NEB,ENCODE bams
CG14711,TF,CG14711-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,3897,ENCSR187IVR,ENCODE bams
CG14860,TF,CG14860-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,3816,ENCSR241LUF,E0-24
CG14965,TF,CG14965-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1209,ENCSR354KRW,ENCODE bams
CG15011,TF,CG15011-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,5026,ENCSR608VFH,ENCODE bams
CG15073,TF,CG15073-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,1065,ENCSR340CQF,ENCODE bams
CG15269,TF,CG15269-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,9404,ENCSR484ZCC,ENCODE bams
CG1529,TF,CG1529-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3686,ENCSR485XWP,ENCODE bams
CG15336,TF,CG15336-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,10787,ENCSR973YDX,WPP+2
